OrderID,OrderDate,CustomerID,Product,Category,Quantity,UnitPrice,DiscountPercent,Revenue,Region,PaymentMethod,OrderStatus
ORD00001,2026-06-13,CUST1228,Smartphone,Electronics,1,583,5,553.85,South,Wallet,Delivered
ORD00002,2026-06-23,CUST1032,Camera,Electronics,1,1229,15,1044.65,North,Credit Card,Shipped
ORD00003,2026-03-01,CUST1203,Camera,Electronics,5,74,20,296.0,West,Debit Card,Returned
ORD00004,2026-05-31,CUST1348,Mouse,Accessories,1,346,15,294.1,East,Debit Card,Shipped
ORD00005,2026-03-28,CUST1367,Smartphone,Electronics,1,798,0,798.0,East,Cash on Delivery,Cancelled
ORD00006,2026-01-12,CUST1080,Smartwatch,Wearables,5,275,15,1168.75,East,Wallet,Cancelled
ORD00007,2026-05-28,CUST1791,Keyboard,Accessories,1,113,5,107.35,East,Credit Card,Shipped
ORD00008,2026-01-26,CUST1166,Tablet,Electronics,3,948,10,2559.6,East,UPI,Shipped
ORD00009,2026-06-21,CUST1546,Mouse,Accessories,1,1267,5,1203.65,South,Debit Card,Returned
ORD00010,2026-04-08,CUST1863,Mouse,Accessories,5,469,10,2110.5,North,Debit Card,Delivered
ORD00011,2026-03-22,CUST1935,Tablet,Electronics,3,155,5,441.75,East,Debit Card,Returned
ORD00012,2026-04-12,CUST1252,Smartwatch,Wearables,2,562,5,1067.8,East,Wallet,Returned
ORD00013,2026-05-30,CUST1521,Tablet,Electronics,3,469,5,1336.65,West,Credit Card,Delivered
ORD00014,2026-01-29,CUST1610,Headphones,Accessories,2,1413,15,2402.1,North,Net Banking,Returned
ORD00015,2026-06-02,CUST1881,Smartwatch,Wearables,5,534,20,2136.0,North,Wallet,Delivered
ORD00016,2026-06-24,CUST1114,Camera,Electronics,3,1332,10,3596.4,East,Net Banking,Shipped
ORD00017,2026-04-27,CUST1519,Laptop,Electronics,3,1045,5,2978.25,North,Wallet,Cancelled
ORD00018,2026-06-13,CUST1382,Camera,Electronics,5,427,5,2028.25,South,Cash on Delivery,Delivered
ORD00019,2026-06-03,CUST1951,Monitor,Electronics,4,59,0,236.0,East,UPI,Shipped
ORD00020,2026-01-15,CUST1749,Keyboard,Accessories,5,181,0,905.0,West,Credit Card,Shipped
ORD00021,2026-02-02,CUST1540,Smartwatch,Wearables,5,358,10,1611.0,West,Debit Card,Shipped
ORD00022,2026-03-21,CUST1462,Tablet,Electronics,3,917,20,2200.8,North,Debit Card,Shipped
ORD00023,2026-01-17,CUST1235,Monitor,Electronics,1,1224,20,979.2,South,Credit Card,Delivered
ORD00024,2026-06-11,CUST1880,Laptop,Electronics,2,158,0,316.0,East,Credit Card,Shipped
ORD00025,2026-03-13,CUST1740,Smartwatch,Wearables,2,1124,5,2135.6,West,Debit Card,Returned
ORD00026,2026-04-15,CUST1362,Keyboard,Accessories,1,218,15,185.3,West,Net Banking,Returned
ORD00027,2026-01-14,CUST1819,Smartphone,Electronics,1,844,10,759.6,North,Debit Card,Shipped
ORD00028,2026-02-18,CUST1187,Camera,Electronics,4,307,15,1043.8,East,Net Banking,Shipped
ORD00029,2026-01-20,CUST1667,Smartwatch,Wearables,5,220,0,1100.0,North,Credit Card,Shipped
ORD00030,2026-02-12,CUST1885,Tablet,Electronics,4,1005,5,3819.0,West,Credit Card,Shipped
ORD00031,2026-04-08,CUST1292,Laptop,Electronics,4,563,15,1914.2,West,Wallet,Returned
ORD00032,2026-02-09,CUST1593,Keyboard,Accessories,3,465,0,1395.0,North,Wallet,Cancelled
ORD00033,2026-01-15,CUST1941,Laptop,Electronics,5,996,20,3984.0,South,Credit Card,Delivered
ORD00034,2026-02-17,CUST1413,Smartphone,Electronics,5,159,5,755.25,North,Cash on Delivery,Shipped
ORD00035,2026-05-29,CUST1429,Printer,Office,1,1288,0,1288.0,East,UPI,Shipped
ORD00036,2026-06-21,CUST1134,Monitor,Electronics,2,563,15,957.1,East,Net Banking,Cancelled
ORD00037,2026-01-19,CUST1102,Laptop,Electronics,4,1292,20,4134.4,North,Cash on Delivery,Shipped
ORD00038,2026-05-10,CUST1900,Mouse,Accessories,2,734,0,1468.0,South,UPI,Cancelled
ORD00039,2026-02-10,CUST1626,Smartwatch,Wearables,5,1460,10,6570.0,North,Wallet,Cancelled
ORD00040,2026-06-19,CUST1911,Smartphone,Electronics,2,561,0,1122.0,North,Wallet,Shipped
ORD00041,2026-03-11,CUST1208,Mouse,Accessories,5,451,10,2029.5,East,Cash on Delivery,Returned
ORD00042,2026-03-06,CUST1849,Laptop,Electronics,1,1319,15,1121.15,East,Credit Card,Delivered
ORD00043,2026-03-27,CUST1564,Headphones,Accessories,3,350,15,892.5,West,Cash on Delivery,Delivered
ORD00044,2026-01-29,CUST1854,Smartphone,Electronics,2,1137,0,2274.0,East,Cash on Delivery,Shipped
ORD00045,2026-04-21,CUST1920,Headphones,Accessories,1,651,10,585.9,North,UPI,Shipped
ORD00046,2026-06-24,CUST1905,Keyboard,Accessories,1,744,20,595.2,West,Cash on Delivery,Shipped
ORD00047,2026-03-02,CUST1183,Headphones,Accessories,2,864,0,1728.0,East,Net Banking,Shipped
